Locality,Property_Type,Area_sqft,Bedrooms,Bathrooms,Balconies,Floor,Total_Floors,Property_Age,Furnished,Parking,Lift,Power_Backup,Security,Gym,Swimming_Pool,Distance_Metro_km,Distance_School_km,Distance_Hospital_km,Facing,Water_Supply,Latitude,Longitude,Price_Lakhs
Neredmet,Independent House,1840,3,3,0,3,3,8,Semi-Furnished,2,Yes,Yes,Yes,No,No,8.07,5.98,2.71,South-West,Limited,17.436243,78.478405,75.77
Neredmet,Apartment,563,1,1,0,7,14,10,Semi-Furnished,2,Yes,Yes,Yes,No,Yes,4.84,3.4,7.76,West,24x7,17.465017,78.409928,23.24
Ramanthapur,Independent House,934,2,3,2,4,17,14,Fully Furnished,1,No,Yes,No,Yes,No,3.83,1.21,9.09,West,Limited,17.347793,78.564381,54.55
Khajaguda,Apartment,1765,3,3,1,9,16,21,Fully Furnished,2,Yes,No,No,No,Yes,11.8,3.84,8.08,South-East,24x7,17.450341,78.583503,117.97
Maheshwaram,Villa,2418,4,4,3,8,13,7,Fully Furnished,1,No,Yes,No,No,No,2.7,3.72,1.95,North-West,24x7,17.477227,78.464596,84.88
Kollur,Builder Floor,1239,2,2,2,4,14,17,Fully Furnished,0,Yes,Yes,No,No,Yes,9.4,7.08,1.81,North-East,12 Hours,17.353077,78.494982,54.63
Nallagandla,Apartment,1269,3,4,0,2,20,2,Semi-Furnished,0,Yes,Yes,Yes,No,Yes,14.98,7.02,7.29,West,24x7,17.395742,78.495041,99.8
Boduppal,Apartment,645,1,1,0,5,9,17,Fully Furnished,0,No,No,Yes,Yes,No,13.64,2.44,3.37,North,12 Hours,17.45173,78.474788,31.66
Shamshabad,Apartment,1397,3,3,2,1,1,12,Unfurnished,1,No,Yes,Yes,No,Yes,8.43,7.66,7.43,South-East,12 Hours,17.336867,78.425625,49.4
Kollur,Apartment,1061,2,1,0,9,11,5,Semi-Furnished,2,No,No,No,Yes,No,10.6,4.53,3.46,South-East,Limited,17.35349,78.44075,42.09
Manikonda,Apartment,1010,2,1,0,4,4,4,Fully Furnished,2,Yes,Yes,No,No,Yes,10.61,3.24,7.1,North-West,24x7,17.396542,78.456155,66.49
Kondapur,Apartment,825,1,2,0,5,14,7,Semi-Furnished,2,Yes,Yes,No,No,No,9.19,3.22,0.57,East,Limited,17.312839,78.475509,68.86
Badangpet,Independent House,1147,2,2,0,1,2,12,Semi-Furnished,2,No,No,No,No,No,1.23,6.38,2.99,East,12 Hours,17.38278,78.467056,47.61
Masab Tank,Independent House,864,2,3,1,3,11,6,Fully Furnished,2,Yes,No,Yes,Yes,No,4.24,3.41,4.12,North,Limited,17.461063,78.511381,65.7
Tarnaka,Independent House,753,1,1,1,0,8,0,Fully Furnished,2,No,Yes,Yes,Yes,Yes,2.71,1.69,7.74,South-West,12 Hours,17.409132,78.426962,53.48
Ameenpur,Apartment,1011,2,1,1,0,1,2,Unfurnished,1,Yes,Yes,No,No,No,14.9,0.35,9.09,East,24x7,17.292892,78.481809,47.83
Rajendra Nagar,Builder Floor,1706,3,3,1,1,3,18,Fully Furnished,1,No,Yes,No,No,Yes,14.92,3.45,3.0,North,Limited,17.33055,78.579506,84.36
Raidurg,Independent House,1754,4,4,2,7,8,10,Unfurnished,1,No,No,Yes,No,No,14.62,5.19,4.0,North-East,Limited,17.429429,78.493377,150.1
Ameerpet,Apartment,1438,3,3,2,12,12,24,Semi-Furnished,0,Yes,No,No,No,No,4.64,3.9,7.53,South,24x7,17.31113,78.544802,77.27
Osman Nagar,Apartment,1658,3,3,3,2,20,14,Semi-Furnished,1,Yes,Yes,No,Yes,No,2.96,1.78,8.41,South-East,Limited,17.443842,78.441854,75.16
Raidurg,Apartment,827,1,1,0,12,20,7,Unfurnished,1,No,Yes,Yes,No,Yes,5.21,4.5,8.38,North-East,Limited,17.473808,78.416459,79.94
Khairatabad,Apartment,868,2,1,2,3,3,14,Semi-Furnished,2,No,Yes,No,No,Yes,4.54,2.26,6.87,North-West,12 Hours,17.481197,78.483381,65.68
Nacharam,Independent House,1123,2,2,2,3,3,19,Fully Furnished,0,No,Yes,Yes,No,Yes,9.83,1.25,5.6,North-East,Limited,17.402746,78.461766,48.98
Adibatla,Apartment,3280,5,5,0,5,10,15,Fully Furnished,2,Yes,No,Yes,No,No,10.37,2.25,2.71,West,Limited,17.325645,78.53906,128.86
Saroornagar,Independent House,917,2,2,2,7,8,5,Fully Furnished,0,Yes,Yes,Yes,Yes,No,0.94,7.38,1.99,South,24x7,17.387255,78.485165,55.9
Dilsukhnagar,Independent House,1417,3,3,1,0,4,3,Unfurnished,0,Yes,Yes,Yes,Yes,Yes,10.53,3.27,4.62,West,24x7,17.458115,78.582848,75.44
Dilsukhnagar,Apartment,2521,4,5,3,0,4,17,Unfurnished,1,Yes,No,No,Yes,No,1.39,5.88,9.03,North-East,12 Hours,17.450504,78.539606,137.91
Patancheru,Apartment,1694,3,3,3,4,18,6,Semi-Furnished,1,No,No,Yes,Yes,Yes,3.38,6.25,0.66,South-East,24x7,17.476209,78.426795,57.66
Mehdipatnam,Independent House,2460,4,5,3,2,3,0,Fully Furnished,0,No,No,No,No,No,1.83,0.4,6.65,North-West,12 Hours,17.455792,78.47453,186.11
Manikonda,Independent House,2660,5,5,0,10,15,3,Semi-Furnished,2,No,No,Yes,Yes,No,11.71,6.15,4.58,South,12 Hours,17.463618,78.399192,199.54
Tolichowki,Independent House,1614,3,3,3,14,20,25,Unfurnished,2,Yes,No,Yes,No,No,11.83,0.86,0.79,South-East,24x7,17.374664,78.488786,94.1
Nagole,Apartment,1723,4,4,1,0,1,4,Semi-Furnished,2,No,No,Yes,No,Yes,4.89,0.91,8.62,North-West,24x7,17.470277,78.390523,88.45
Pocharam,Apartment,910,2,3,1,9,15,22,Unfurnished,2,Yes,No,No,No,Yes,11.87,1.04,6.89,North,12 Hours,17.422544,78.531241,35.1
Kismatpur,Apartment,2146,4,4,1,1,6,19,Semi-Furnished,1,Yes,No,Yes,No,No,4.36,1.32,8.32,North-West,Limited,17.311887,78.446579,107.84
Mehdipatnam,Independent House,772,1,1,0,4,19,4,Semi-Furnished,1,Yes,Yes,Yes,Yes,No,3.68,5.72,3.75,North-East,24x7,17.445887,78.442452,53.12
Hafeezpet,Independent House,1292,2,3,0,5,17,17,Fully Furnished,1,No,Yes,Yes,Yes,No,8.04,7.58,8.26,North,24x7,17.47649,78.388473,73.66
Safilguda,Apartment,2348,5,5,2,1,1,2,Unfurnished,1,Yes,Yes,Yes,No,Yes,9.35,6.8,8.92,West,Limited,17.420364,78.552394,112.63
Punjagutta,Apartment,1244,3,3,1,1,15,18,Unfurnished,0,Yes,Yes,No,Yes,No,9.11,5.54,0.54,South-West,12 Hours,17.287863,78.534274,82.12
Manikonda,Apartment,1775,3,3,2,2,8,25,Fully Furnished,2,No,No,Yes,No,No,2.41,2.28,9.59,West,12 Hours,17.433095,78.41527,116.91
Dilsukhnagar,Builder Floor,1009,2,1,0,0,3,8,Semi-Furnished,0,Yes,No,No,Yes,Yes,1.5,7.17,2.53,North-West,12 Hours,17.438785,78.518408,52.59
Alwal,Villa,1121,2,1,1,8,9,13,Unfurnished,2,No,No,Yes,Yes,No,13.42,7.47,5.28,North-East,24x7,17.454184,78.509421,61.34
Suchitra,Villa,1845,3,3,3,4,5,1,Semi-Furnished,1,Yes,No,No,No,Yes,6.21,3.76,3.69,West,12 Hours,17.382526,78.40223,102.65
Kothaguda,Apartment,1209,3,2,2,1,11,1,Semi-Furnished,2,No,Yes,Yes,Yes,Yes,14.29,7.98,4.9,South-East,24x7,17.366421,78.399902,91.9
Film Nagar,Apartment,1077,2,3,0,1,6,20,Unfurnished,1,No,Yes,No,No,Yes,10.4,7.99,8.98,North,24x7,17.3072,78.548347,100.7
Punjagutta,Apartment,1710,4,4,3,0,2,10,Unfurnished,1,Yes,Yes,No,No,No,9.69,5.06,0.8,North-East,24x7,17.299463,78.577723,158.73
Narsingi,Apartment,916,2,3,2,1,18,11,Fully Furnished,2,No,Yes,Yes,Yes,Yes,0.64,3.32,9.6,South,12 Hours,17.344913,78.402072,71.6
Balapur,Apartment,866,2,2,1,2,2,19,Fully Furnished,1,Yes,Yes,No,Yes,Yes,14.86,2.89,6.35,North,Limited,17.443903,78.528117,26.89
Abids,Independent House,2402,4,4,1,1,2,12,Unfurnished,0,Yes,No,No,Yes,Yes,6.27,3.6,9.18,East,24x7,17.29958,78.467275,173.89
Attapur,Apartment,1248,2,2,1,8,17,22,Fully Furnished,0,Yes,Yes,No,No,No,13.0,0.46,4.23,South-West,12 Hours,17.331477,78.442901,69.19
Khairatabad,Apartment,1028,2,1,0,6,16,12,Semi-Furnished,1,Yes,No,Yes,No,Yes,7.16,2.26,6.03,North,Limited,17.470846,78.467721,68.18
Nallagandla,Independent House,1288,2,1,0,0,1,18,Unfurnished,2,No,Yes,No,Yes,Yes,9.74,7.68,5.78,South-East,Limited,17.349299,78.481987,85.71
Bowenpally,Apartment,1790,4,5,3,7,15,25,Unfurnished,2,Yes,No,No,No,No,11.44,7.97,5.79,South-West,12 Hours,17.413095,78.582496,69.03
Madinaguda,Apartment,1633,3,3,1,0,13,7,Unfurnished,1,Yes,Yes,Yes,No,No,5.63,1.74,2.93,South-West,24x7,17.356563,78.516263,86.89
Tellapur,Villa,1260,2,2,0,8,8,0,Unfurnished,0,No,Yes,Yes,Yes,Yes,5.61,7.31,7.96,South-West,Limited,17.462732,78.487317,71.1
Masab Tank,Apartment,907,2,3,0,11,18,10,Fully Furnished,2,Yes,No,No,No,Yes,10.71,1.03,5.78,East,Limited,17.402173,78.511657,61.05
Himayat Nagar,Apartment,1818,3,3,0,12,18,19,Unfurnished,2,No,Yes,No,No,No,13.06,5.36,9.96,North,24x7,17.421523,78.435086,135.73
Kothaguda,Apartment,1829,3,3,1,2,8,21,Unfurnished,0,No,Yes,No,No,No,14.82,5.34,7.45,West,24x7,17.449507,78.547492,109.37
Masab Tank,Apartment,855,2,2,2,0,1,1,Fully Furnished,0,Yes,No,Yes,Yes,Yes,2.39,3.68,3.91,North,Limited,17.389034,78.415275,62.32
Bowenpally,Independent House,616,1,1,1,0,11,13,Semi-Furnished,1,Yes,Yes,Yes,No,Yes,14.06,3.69,4.87,South-East,Limited,17.339282,78.486039,34.84
Shamshabad,Apartment,1900,3,2,1,2,20,13,Fully Furnished,2,Yes,No,No,No,Yes,12.98,1.53,7.62,South,24x7,17.311766,78.512612,88.73
ECIL,Independent House,1482,3,2,3,2,13,4,Fully Furnished,0,Yes,Yes,No,No,Yes,7.77,3.13,5.79,North-West,12 Hours,17.434729,78.450217,73.49
Nagole,Apartment,1356,3,2,3,5,12,1,Semi-Furnished,2,No,No,No,Yes,No,14.5,3.31,2.37,North-East,Limited,17.387226,78.39607,60.41
Kompally,Apartment,742,1,1,1,2,7,5,Semi-Furnished,0,No,Yes,Yes,No,Yes,4.21,6.35,6.82,North-West,Limited,17.426395,78.399238,41.01
Somajiguda,Apartment,1113,2,1,2,3,16,23,Fully Furnished,1,Yes,Yes,No,Yes,No,4.32,1.85,3.72,South,24x7,17.285764,78.436065,89.45
Nagole,Villa,1573,3,3,1,4,8,6,Unfurnished,2,Yes,Yes,Yes,No,No,6.38,3.18,7.33,North-West,12 Hours,17.348254,78.407078,91.62
Meerpet,Apartment,1611,3,3,2,5,7,7,Semi-Furnished,1,No,No,No,No,No,14.45,0.79,2.48,North-East,24x7,17.339079,78.555242,66.72
Chandanagar,Apartment,554,1,1,1,2,17,10,Unfurnished,1,Yes,No,No,No,No,4.88,3.74,1.57,South,24x7,17.442786,78.565074,27.94
Malkajgiri,Apartment,1802,3,2,2,3,6,3,Semi-Furnished,0,No,Yes,Yes,Yes,No,12.34,2.62,3.51,North-East,24x7,17.466989,78.462164,81.43
Safilguda,Apartment,1668,3,3,0,0,1,17,Fully Furnished,2,Yes,No,No,Yes,Yes,14.01,0.91,7.43,South-West,24x7,17.302858,78.524104,93.77
Malkajgiri,Apartment,1186,2,2,2,3,6,16,Semi-Furnished,1,No,No,Yes,Yes,No,3.31,7.73,8.76,East,Limited,17.36253,78.513242,51.31
Habsiguda,Villa,1427,3,4,3,4,15,18,Semi-Furnished,1,No,No,Yes,Yes,No,0.55,2.45,1.09,East,Limited,17.285873,78.420091,84.79
Nallagandla,Apartment,1225,3,3,2,1,17,1,Unfurnished,0,No,Yes,Yes,Yes,No,3.2,3.87,8.54,South,24x7,17.418277,78.57991,100.19
Hitech City,Apartment,2408,4,3,1,8,13,25,Fully Furnished,2,Yes,No,Yes,Yes,Yes,2.26,3.21,3.79,North,Limited,17.475155,78.527208,256.66
Hitech City,Apartment,1846,3,4,1,2,12,23,Semi-Furnished,2,No,Yes,Yes,Yes,Yes,2.69,5.64,8.24,South,Limited,17.306073,78.543065,184.87
Kothapet,Apartment,736,1,2,0,3,12,4,Unfurnished,1,No,Yes,No,Yes,No,6.26,7.29,5.74,South-West,24x7,17.294637,78.45871,43.92
Madinaguda,Apartment,1323,3,3,1,0,13,3,Unfurnished,1,Yes,Yes,No,Yes,No,9.85,7.63,9.81,South,Limited,17.38508,78.473246,79.48
Champapet,Independent House,2204,4,5,2,8,18,24,Semi-Furnished,1,Yes,No,No,No,Yes,2.6,7.84,9.66,North,24x7,17.326777,78.460441,93.51
Dilsukhnagar,Apartment,1499,3,3,1,8,12,21,Fully Furnished,2,Yes,Yes,Yes,No,No,1.33,1.71,8.94,North-West,24x7,17.295471,78.540214,67.31
Financial District,Apartment,2509,4,5,1,0,3,17,Unfurnished,1,No,No,No,Yes,Yes,0.59,5.45,2.68,North-East,24x7,17.449436,78.55677,228.71
Somajiguda,Apartment,1425,3,4,1,10,13,1,Fully Furnished,1,No,Yes,No,No,No,1.42,5.92,8.01,East,12 Hours,17.416471,78.481156,115.49
Meerpet,Independent House,2375,4,3,2,3,3,23,Semi-Furnished,0,Yes,No,No,No,No,0.75,7.49,1.37,South-East,Limited,17.328148,78.522263,88.73
Somajiguda,Apartment,944,2,1,1,0,1,0,Semi-Furnished,0,No,Yes,Yes,Yes,No,1.89,5.91,1.35,North-East,24x7,17.34406,78.41402,94.14
Bowenpally,Apartment,2113,4,5,3,0,13,18,Fully Furnished,1,Yes,Yes,Yes,No,No,13.45,2.08,8.08,North,24x7,17.432719,78.449825,127.24
Beeramguda,Apartment,723,1,2,1,3,12,20,Unfurnished,2,No,Yes,Yes,Yes,No,5.27,1.75,9.56,North-West,24x7,17.364026,78.529341,26.27
Neknampur,Apartment,885,2,2,0,7,12,25,Semi-Furnished,1,No,No,No,No,Yes,10.81,0.31,4.5,South-West,12 Hours,17.463043,78.444182,41.42
Ameerpet,Apartment,1055,2,2,2,14,15,9,Unfurnished,1,Yes,No,No,No,Yes,4.23,2.85,0.72,South,12 Hours,17.296618,78.409002,68.46
Kompally,Apartment,1595,3,3,3,5,20,14,Semi-Furnished,0,Yes,No,Yes,No,Yes,5.16,0.68,4.02,South-West,Limited,17.338519,78.553796,83.94
Chandanagar,Apartment,932,2,3,1,6,7,9,Unfurnished,0,No,No,No,No,No,13.88,3.49,4.63,North-East,12 Hours,17.360819,78.454169,44.51
Quthbullapur,Apartment,887,2,2,2,3,4,18,Fully Furnished,2,Yes,Yes,No,No,No,4.63,4.73,3.06,South-East,12 Hours,17.309874,78.469429,35.0
Vanasthalipuram,Independent House,1375,3,3,1,2,2,10,Fully Furnished,1,Yes,No,Yes,No,Yes,4.11,1.1,0.58,South-West,24x7,17.365858,78.492888,85.37
Chandanagar,Villa,1690,3,3,2,11,17,6,Semi-Furnished,2,No,No,No,No,Yes,12.96,1.27,2.82,East,12 Hours,17.286985,78.479519,95.99
Meerpet,Independent House,882,2,2,2,7,20,18,Unfurnished,0,Yes,No,Yes,Yes,Yes,3.46,6.95,3.67,South-East,12 Hours,17.388806,78.522208,40.98
Bandlaguda Jagir,Apartment,1843,3,4,0,13,18,25,Unfurnished,2,Yes,Yes,No,No,No,3.24,5.66,4.27,South,24x7,17.439798,78.541284,78.34
Kompally,Apartment,654,1,1,0,6,7,5,Fully Furnished,2,Yes,Yes,Yes,Yes,No,7.13,1.71,4.36,West,24x7,17.480203,78.41181,40.54
Suchitra,Apartment,1716,3,4,0,2,2,25,Fully Furnished,1,Yes,No,No,Yes,Yes,13.35,5.33,6.64,South-West,12 Hours,17.439032,78.548131,82.07
Kokapet,Apartment,2818,5,5,2,0,2,7,Fully Furnished,1,Yes,Yes,Yes,No,No,6.17,1.7,7.64,North,24x7,17.338117,78.39021,243.34
Kothapet,Apartment,919,2,1,0,6,11,18,Unfurnished,0,Yes,Yes,Yes,Yes,Yes,3.36,3.44,4.69,West,Limited,17.439628,78.490292,39.78
Nagole,Builder Floor,768,1,1,1,19,20,11,Semi-Furnished,0,Yes,Yes,No,No,Yes,1.31,7.55,2.14,South,Limited,17.359348,78.386971,40.09
ECIL,Apartment,688,1,1,0,4,5,9,Semi-Furnished,0,Yes,Yes,No,Yes,Yes,10.1,1.32,1.0,North-West,24x7,17.414292,78.581539,35.2
Habsiguda,Apartment,1304,3,4,3,4,11,13,Unfurnished,2,Yes,No,Yes,No,No,9.78,2.05,8.79,South-West,24x7,17.289719,78.566412,66.41
Boduppal,Apartment,1265,3,3,1,9,11,1,Fully Furnished,2,No,No,No,No,No,13.77,5.88,1.9,South,12 Hours,17.441075,78.478299,66.97
Tukkuguda,Apartment,1278,3,3,0,0,5,2,Unfurnished,0,No,Yes,Yes,No,No,12.21,6.02,0.97,West,12 Hours,17.345583,78.399839,43.57
Ghatkesar,Apartment,1430,3,3,2,4,4,19,Fully Furnished,1,No,Yes,No,Yes,No,1.98,1.65,9.1,South-East,Limited,17.334321,78.483515,47.44
Kompally,Apartment,1034,2,2,0,0,5,12,Unfurnished,1,No,No,No,Yes,Yes,11.23,0.31,5.63,South,24x7,17.379762,78.398269,60.05
Quthbullapur,Apartment,1718,4,4,3,10,17,0,Semi-Furnished,1,Yes,Yes,Yes,No,No,11.61,5.57,1.18,North-West,24x7,17.473545,78.543738,86.8
Safilguda,Apartment,1386,3,4,3,2,7,19,Fully Furnished,1,No,Yes,No,Yes,No,13.86,3.95,8.05,North,12 Hours,17.393896,78.579254,69.92
Nallagandla,Apartment,2057,4,3,1,4,20,0,Fully Furnished,1,Yes,Yes,No,Yes,Yes,5.18,6.96,9.32,South-East,24x7,17.358136,78.431776,135.13
Nallagandla,Apartment,1795,3,4,1,3,14,14,Fully Furnished,2,Yes,No,Yes,No,Yes,1.12,3.2,3.68,North-East,Limited,17.313161,78.511183,128.02
Patancheru,Apartment,954,2,1,0,1,18,1,Semi-Furnished,2,Yes,Yes,Yes,Yes,Yes,12.83,1.03,8.37,West,12 Hours,17.40066,78.416093,47.04
Dilsukhnagar,Villa,1040,2,2,1,13,18,17,Semi-Furnished,1,No,Yes,Yes,Yes,No,4.3,4.44,4.2,North-East,24x7,17.412191,78.464333,70.92
Banjara Hills,Independent House,1107,2,3,1,15,17,7,Semi-Furnished,2,No,No,No,No,No,11.36,6.27,1.63,South-East,Limited,17.336981,78.455738,111.03
Nizampet,Apartment,922,2,3,0,0,6,6,Unfurnished,0,No,Yes,Yes,No,Yes,9.37,4.4,8.06,West,12 Hours,17.343101,78.480698,49.19
Dilsukhnagar,Independent House,1314,3,2,3,14,20,4,Semi-Furnished,2,No,Yes,Yes,Yes,Yes,11.16,0.45,2.58,South-East,12 Hours,17.426544,78.399141,90.89
Film Nagar,Independent House,728,1,1,0,10,18,6,Fully Furnished,1,Yes,Yes,Yes,No,Yes,5.24,1.68,2.82,South,Limited,17.286568,78.512884,82.03
Nampally,Apartment,2562,4,4,0,1,2,12,Fully Furnished,2,No,Yes,No,No,Yes,12.94,1.67,5.78,South,Limited,17.311855,78.578287,142.56
Attapur,Independent House,1919,4,5,3,2,3,20,Unfurnished,2,No,Yes,No,No,Yes,4.09,4.55,9.67,West,24x7,17.333379,78.486821,115.24
Miyapur,Apartment,1405,3,3,1,4,4,16,Fully Furnished,0,No,Yes,No,Yes,No,5.22,7.52,7.49,East,12 Hours,17.300248,78.441641,67.38
Attapur,Apartment,1172,2,2,2,0,6,20,Fully Furnished,2,Yes,No,Yes,Yes,Yes,7.27,3.72,4.39,South-West,Limited,17.376933,78.496015,54.48
Nampally,Apartment,1746,3,3,2,10,12,15,Unfurnished,2,Yes,Yes,No,No,No,10.59,6.63,5.57,North,Limited,17.29378,78.41985,103.31
Badangpet,Apartment,1007,2,2,1,3,11,19,Semi-Furnished,2,No,Yes,No,No,Yes,8.9,4.98,4.73,South-West,24x7,17.326837,78.396696,32.91
Habsiguda,Apartment,2328,5,5,3,0,16,17,Unfurnished,2,No,No,No,No,No,10.44,6.85,3.2,North-East,24x7,17.481239,78.545329,121.93
Miyapur,Independent House,1315,3,4,3,4,8,14,Fully Furnished,2,No,Yes,No,Yes,No,4.75,4.8,0.77,North-East,12 Hours,17.333395,78.578825,86.24
Hafeezpet,Apartment,1210,3,3,1,0,4,5,Semi-Furnished,0,No,Yes,No,No,No,8.52,7.24,0.67,North,12 Hours,17.475286,78.585664,75.28
Sainikpuri,Apartment,1200,3,3,0,7,11,9,Fully Furnished,2,Yes,No,No,Yes,No,6.53,6.96,0.64,South-West,12 Hours,17.481229,78.500608,73.35
Financial District,Apartment,1599,3,4,0,19,19,11,Fully Furnished,0,Yes,No,No,No,Yes,8.59,6.21,2.32,South-West,Limited,17.372399,78.505412,114.73
Quthbullapur,Apartment,795,1,1,0,15,17,5,Semi-Furnished,2,Yes,Yes,Yes,Yes,No,5.9,5.6,0.95,North-East,12 Hours,17.409469,78.582936,38.19
Sainikpuri,Apartment,2102,4,5,2,6,11,17,Semi-Furnished,1,Yes,No,Yes,No,Yes,11.92,1.27,3.57,North-West,Limited,17.443519,78.56828,100.21
Mallapur,Apartment,2486,4,4,1,0,6,19,Unfurnished,1,Yes,Yes,No,No,Yes,4.25,2.67,9.06,North-East,Limited,17.477027,78.490992,117.9
Somajiguda,Apartment,1534,3,3,0,8,8,7,Semi-Furnished,0,No,Yes,Yes,No,No,11.07,1.98,2.08,East,24x7,17.436462,78.419034,140.7
Lakdikapul,Apartment,2589,4,3,3,2,8,20,Semi-Furnished,1,Yes,No,No,Yes,No,8.56,5.79,3.55,North-West,24x7,17.428666,78.436168,140.37
Balapur,Apartment,1343,3,3,0,1,13,16,Semi-Furnished,1,No,Yes,No,Yes,Yes,5.37,0.7,8.59,East,12 Hours,17.41832,78.41924,49.28
Bandlaguda Jagir,Apartment,987,2,3,0,10,12,6,Semi-Furnished,0,No,No,No,Yes,No,2.23,4.77,7.17,South-West,24x7,17.439325,78.486479,43.0
Quthbullapur,Apartment,1100,2,1,0,1,7,16,Unfurnished,1,Yes,Yes,Yes,Yes,Yes,6.69,0.59,5.01,North,Limited,17.286808,78.458106,50.51
Nampally,Apartment,1401,3,2,2,13,18,5,Semi-Furnished,2,Yes,No,Yes,Yes,No,10.53,3.45,8.4,South,12 Hours,17.330735,78.513573,93.04
Peerzadiguda,Apartment,1309,3,3,3,6,16,9,Semi-Furnished,1,No,Yes,No,No,No,14.04,4.86,4.28,West,12 Hours,17.349334,78.556308,56.97
Bachupally,Apartment,1463,3,4,3,5,9,1,Fully Furnished,2,Yes,Yes,Yes,Yes,No,7.46,4.75,5.55,South,Limited,17.30408,78.47244,77.36
Narsingi,Apartment,1879,3,3,2,5,6,9,Semi-Furnished,1,No,No,No,No,Yes,8.64,7.05,8.33,South-West,12 Hours,17.381178,78.519187,123.56
Badangpet,Independent House,1115,2,1,2,0,2,4,Unfurnished,1,No,Yes,Yes,No,Yes,9.77,7.29,4.79,West,12 Hours,17.342777,78.466267,46.49
Khairatabad,Apartment,984,2,2,0,3,9,13,Semi-Furnished,0,No,Yes,Yes,Yes,Yes,9.75,1.92,5.28,South-East,Limited,17.483651,78.395682,74.08
Kondapur,Apartment,3206,5,4,2,9,11,0,Unfurnished,2,Yes,Yes,No,No,Yes,5.87,1.44,8.68,South-East,Limited,17.359345,78.465192,300.0
Mehdipatnam,Apartment,1716,3,2,3,1,1,6,Unfurnished,2,No,Yes,Yes,Yes,Yes,11.92,0.91,2.86,North,Limited,17.468685,78.576886,93.24
Ameerpet,Apartment,912,2,2,2,0,14,18,Unfurnished,2,No,Yes,Yes,Yes,No,5.25,7.07,3.34,South-West,24x7,17.356424,78.54421,50.75
Kokapet,Builder Floor,1743,3,4,1,12,13,12,Unfurnished,1,Yes,Yes,No,No,Yes,3.53,2.16,6.38,East,Limited,17.397815,78.458416,132.22
Somajiguda,Apartment,1498,3,4,1,2,3,12,Semi-Furnished,0,No,Yes,No,No,Yes,1.97,2.53,4.23,East,Limited,17.33308,78.425019,129.91
Dilsukhnagar,Apartment,864,2,2,2,13,20,24,Fully Furnished,1,No,Yes,No,Yes,No,3.07,0.93,8.17,North-East,24x7,17.305361,78.487892,43.72
Habsiguda,Apartment,1206,2,3,1,5,7,17,Fully Furnished,1,No,No,Yes,No,Yes,1.04,5.45,5.7,North,12 Hours,17.292786,78.393904,54.62
ECIL,Apartment,918,2,1,1,4,9,14,Unfurnished,2,Yes,No,Yes,Yes,No,8.84,0.65,5.21,North-East,Limited,17.458354,78.443196,36.67
Kismatpur,Builder Floor,2283,4,4,1,17,17,24,Semi-Furnished,2,No,No,No,No,Yes,12.91,2.13,8.4,North-West,Limited,17.401324,78.474023,114.39
Osman Nagar,Apartment,950,2,1,2,12,14,17,Fully Furnished,0,Yes,No,No,Yes,Yes,4.92,1.9,5.29,West,Limited,17.38834,78.538455,50.17
Bachupally,Apartment,1567,3,3,1,6,7,9,Semi-Furnished,1,Yes,No,Yes,Yes,Yes,9.27,5.09,1.57,North-West,24x7,17.35561,78.565519,82.86
Tarnaka,Apartment,918,2,2,1,0,6,8,Unfurnished,2,Yes,Yes,Yes,Yes,No,7.03,1.33,3.05,North-East,24x7,17.463512,78.47059,50.38
Nanakramguda,Apartment,1478,3,2,1,2,6,11,Unfurnished,2,Yes,Yes,No,No,Yes,14.34,7.41,1.87,North-East,Limited,17.380267,78.486208,134.52
Hitech City,Independent House,1354,3,4,2,13,19,6,Unfurnished,0,No,Yes,No,No,Yes,3.19,0.41,8.41,South,24x7,17.403226,78.423927,159.9
Puppalaguda,Independent House,648,1,1,1,13,17,3,Fully Furnished,1,Yes,Yes,No,Yes,Yes,8.42,3.75,6.7,East,24x7,17.456006,78.428115,51.14
Madhapur,Apartment,1600,3,4,1,2,3,6,Semi-Furnished,2,Yes,Yes,No,No,No,9.27,0.53,1.41,South,24x7,17.298802,78.574857,171.8
Jubilee Hills,Independent House,1086,2,1,0,2,2,14,Unfurnished,0,Yes,Yes,Yes,No,Yes,11.28,3.94,1.22,South-East,12 Hours,17.366882,78.548876,116.53
Madinaguda,Apartment,1523,3,3,3,3,4,3,Fully Furnished,0,Yes,No,Yes,No,No,4.94,3.43,9.84,North,24x7,17.351438,78.525424,88.58
Quthbullapur,Apartment,1181,2,3,0,2,5,5,Unfurnished,2,No,Yes,Yes,Yes,No,4.92,6.64,8.08,South-West,24x7,17.41593,78.417019,51.32
Shamshabad,Apartment,1178,2,2,1,1,4,4,Semi-Furnished,1,Yes,No,No,Yes,Yes,4.42,2.96,7.07,North-West,24x7,17.392819,78.443194,46.25
Madhapur,Apartment,1313,3,3,0,6,6,13,Fully Furnished,1,No,No,No,No,No,11.97,7.29,5.38,South-East,24x7,17.292514,78.412273,110.97
Tolichowki,Villa,1475,3,3,3,0,9,16,Fully Furnished,0,No,Yes,Yes,Yes,No,4.73,6.82,1.74,South-East,12 Hours,17.285002,78.470013,79.46
Financial District,Apartment,1741,3,3,3,20,20,4,Unfurnished,1,Yes,No,No,No,No,7.01,7.62,5.29,West,24x7,17.295927,78.581316,162.19
